rank,template_name,source_trend,primary_platforms,evidence_strength,movement_summary,landing_page_category,safety_note,source_url
1,REDRED Ear-Flap Dance,REDRED - CORTIS,TikTok / YouTube Shorts,A,"K-pop high-energy hand and upper-body choreography; solo or group-friendly.",Trending K-pop,"Do not use artist likeness; abstract the motion only.",https://clipchamp.com/en/blog/tiktok-trends-challenges/
2,Hate That Smooth Dance,Hate that i made u love me - Ariana Grande / adamusic_ remix,TikTok / Instagram Reels,A,"Smooth learnable choreography used for outfit reveals, coffee-in-hand dances, transitions.",Smooth Viral Moves,"Check music licensing before commercial use.",https://newengen.com/insights/june-tiktok-trends/
3,You Know You Like It Group Groove,You Know You Like It - DJ Snake,TikTok,A,"Friends take turns in focus while others improvise dance in the background.",Group Party,"Convert to single-person foreground groove for MVP.",https://clipchamp.com/en/blog/tiktok-trends-challenges/
4,Call Back Hypnotic Groove,Call Back - Don Toliver,TikTok,A,"Fluid R&B groove with smooth, hypnotic camera-facing movement.",Hip-Hop / R&B,"Keep as low-risk standing or half-body movement.",https://newengen.com/insights/march-2026-tiktok-trends/
5,No Hands Body Groove,No Hands Dance - Rivernovin,TikTok,A,"Full-body groove using footwork, shoulder pops, body rhythm, no hand choreography.",Body Control,"Avoid sexualized body-roll emphasis; keep it grounded and sporty.",https://newengen.com/insights/february-2026-tiktok-trends/
6,Cheerleader Bounce,Cheerleader dance trend,YouTube Shorts / TikTok,A,"Cheer-inspired bounce with bright arm openings and simple rhythm.",Sporty Moves,"Avoid school/minor associations; use adult sporty framing.",https://www.youtube.com/shorts/KinO_fjkMXo
7,Never Say Never Mashup Dance,Never say never say / 2026 TikTok mashup dance,YouTube Shorts,A,"Light upbeat mashup dance with small steps and hand gestures.",Mashup Trends,"Needs second-pass visual review before production prompts.",https://www.youtube.com/shorts/iC3qz36XHTI
8,Beautiful Lie x Macarena,Beautiful Lie x Macarena TikTok Dance,YouTube Shorts,A,"Retro Macarena-style hand loop over a newer mashup.",Nostalgia Remix,"Use a generic retro hand-loop name rather than official dance branding.",https://www.youtube.com/shorts/eLCfeyekCt0
9,GOIN' UP Dance,GOIN' UP Dance 2026,YouTube Shorts,A,"Upward hype dance; likely arm raises, bounce, and energetic beat hits.",Hype Moves,"Needs second-pass visual review; avoid creator likeness.",https://www.youtube.com/shorts/gqMUa4fiLRA
10,Walk In Walk Out,Walk In Walk Out Viral 2026 Dance,YouTube Shorts,A,"Walk-in/walk-out beat transition with simple step changes.",Walk Cycles,"Suitable for single-person walk cycle template.",https://www.youtube.com/shorts/6FjV5aSP99o
11,Model Mode Beat Drop,DANCE - Slayyyter / Model Mode,Instagram Reels,B,"Rough start then beat-drop editorial pose; confidence-forward reveal.",Fashion / Pose,"Safe standing pose template; no outfit removal/change implication.",https://www.socialpilot.co/blog/instagram-reels-trends
12,Dracula Two-Person Walk,Dracula (JENNIE Remix) - Tame Impala & JENNIE,Instagram Reels,B,"Two-person synchronized walk trend with K-pop and indie crossover.",K-pop Walks,"Convert to single-person synchronized walk for MVP.",https://www.socialpilot.co/blog/instagram-reels-trends
13,Sunny Strut Into Your Era,Sunny - Boney M. & R3HAB,Instagram Reels,B,"Strut-into-your-era transition for fashion/lifestyle reveal.",Fashion Walk,"Single-person catwalk/strut template.",https://www.socialpilot.co/blog/instagram-reels-trends
14,Vogue Editorial Walk,Vogue - Madonna / Runway walk,Instagram Reels,B,"Runway/editorial walk trend tied to fashion and Devil Wears Prada energy.",Runway,"Avoid brand/movie references in final public template name.",https://www.socialpilot.co/blog/instagram-reels-trends
15,Goals Dance-Forward Anthem,Goals - LISA, Anitta & Rema,Instagram Reels,B,"Dance-forward World Cup anthem with K-pop, Latin pop, Afrobeats energy.",Global Pop,"No artist likeness; generic global pop dance.",https://www.socialpilot.co/blog/instagram-reels-trends
16,Dai Dai Carnival Step,Dai Dai - Shakira & Burna Boy,Instagram Reels,B,"Celebratory reggaeton/Afrobeats rhythm for travel, sport, and party clips.",Afro-Latin,"Keep festive and non-sexualized.",https://www.socialpilot.co/blog/instagram-reels-trends
17,Game Time Hype Bounce,Game Time - Future & Tyla,Instagram Reels,B,"High-energy sports anthem for hype bounce, team reveal, gym movement.",Sport Hype,"Avoid team logos and athlete likeness.",https://www.socialpilot.co/blog/instagram-reels-trends
18,Stomp To Reveal,Stomp to reveal,Instagram Reels,B,"Stomp/jump reveals new scene or transformation.",Transitions,"Can become single-person stomp-cut template.",https://later.com/blog/instagram-reels-trends/
19,Jujutsu Pose Lineup,Jujutsu Kaisen pose trend,Instagram Reels,B,"Anime-inspired fast pose lineup, often group-based.",Anime-Inspired Pose,"Use single-person pose sequence; avoid anime character generation.",https://later.com/blog/instagram-reels-trends/
20,World Stop Reveal,World Stop! - @browsbyzulema,Instagram Reels,B,"Dramatic pause/reveal format for makeover, product, outfit, before-after.",Reveal Moves,"More movement template than dance; safe for generator landing page.",https://www.socialpilot.co/blog/instagram-reels-trends
